ID,Attend,Quiz,Csystem,Midterm,LAB,Final,Grade
1,0.833333333,3.545454545,7.5,7,,4,F
2,5,9.037190083,7.5,10.5,2,9.5,D
3,5.833333333,11.7768595,7.5,9,10,8,D+
4,6.666666667,8.045454545,8.75,10.5,10,11,D+
5,6.666666667,11.34297521,7.5,13.5,2,9,D+
6,7.5,9.285123967,10,11,2,5,D
7,7.5,11.20661157,8.75,10.5,2,10.1,D+
8,7.5,11.49173554,6.25,13.75,2,7.5,D
9,7.5,8.590909091,7.5,10.5,2,7.5,D
10,7.5,8.863636364,7.5,9.8,2,9.5,D
11,7.5,12.44628099,7.5,9,2,5.5,D
12,7.5,11.59090909,8.75,8,2,7.5,D
13,8.333333333,11.50413223,7.5,9.6,2,13.5,D+
14,8.333333333,11.76446281,7.5,12.5,2,10.5,D+
15,8.333333333,11.88842975,10,6.5,10,5,D+
16,8.333333333,10.40082645,10,12.5,10,11.5,C
17,8.333333333,10.78512397,8.75,8.5,2,8,D
18,9.166666667,12.17355372,8.75,11,10,7.5,D+
19,9.166666667,10.26446281,10,9,10,5,D+
20,9.166666667,12.16115702,10,8.5,2,6,D
21,9.166666667,11.91322314,10,5.5,2,9,D
22,9.166666667,12.14876033,7.5,12,10,10.5,C
23,9.166666667,12.01239669,10,10.5,2,11.5,D+
24,9.166666667,12.69421488,10,14.5,2,9.5,D+
25,9.166666667,9.855371901,8.75,8.1,2,7.5,D
26,9.166666667,12.4338843,10,11.3,2,12.5,D+
27,9.166666667,11.88842975,10,9,2,10,D+
28,9.166666667,10.79752066,8.75,9,2,9,D
29,9.166666667,12.29752066,8.75,13.5,10,9.5,C
30,9.166666667,12.44628099,8.75,10.5,10,8.5,D+
31,9.166666667,13.11570248,10,12.8,2,10.5,D+
32,10,12.55785124,8.75,6,10,13,C
33,10,11.21900826,8.75,8.5,2,9.6,D+
34,10,11.76446281,10,10.2,2,6.5,D+
35,10,10.53719008,8.75,16.5,10,16,B
36,10,13.25206612,10,9.3,2,6,D+
37,10,11.75206612,10,11.5,2,7,D+
38,10,12.13636364,8.75,11,10,7,D+
39,10,12.70661157,10,9.5,10,7,D+
40,10,13.25206612,10,7.5,10,8.5,D+
41,10,13.25206612,10,9,2,7.5,D+
42,10,10.26446281,10,11,10,10.5,C
43,10,12.4214876,10,12.6,10,10,C+
44,10,11.49173554,10,9,2,8,D+
45,10,13.37603306,10,10,2,8,D+
46,10,11.50413223,8.75,6.5,10,11,D+
47,10,13.26446281,10,8.5,2,7.5,D+
48,10,9.991735537,8.75,9.9,10,13,C
49,10,12.71900826,10,6,2,5,D
50,10,12.4338843,8.75,15.35,10,11.5,C+
51,10,13.10330579,10,9,10,10,C
52,10,11.46694215,10,8,2,7.5,D
53,10,12.03719008,8.75,12.5,10,12,C+
54,10,12.4338843,10,15.5,10,14.5,B
55,10,12.57024793,10,9.5,10,9,C
56,10,9.582644628,10,18.5,10,14.5,B
57,10,12.30991736,5,16.65,10,9.5,C
58,10,13.52479339,10,12.5,2,11,D+
59,10,12.4338843,10,14.4,10,13.2,B
60,10,12.96694215,10,15.5,10,15.5,B
61,10,12.97933884,10,19,10,18.5,A
62,10,12.30991736,10,13.2,10,7,C
63,10,12.95454545,10,10,10,14,C+
64,10,13.10330579,10,15,10,13.5,B
65,10,11.88842975,10,14,2,4,D+
66,10,13.25206612,10,12.5,2,6.5,D+
67,10,11.59090909,8.75,14,2,11.5,D+
68,10,11.34297521,8.75,6.8,10,9,D+
69,10,10.80991736,8.75,9.4,2,9.1,D+
70,10,13.64876033,10,12.7,2,8.5,D+
71,10,13.37603306,10,14,2,15,C
72,10,14.46694215,10,11,2,12.6,C
73,10,12.83057851,10,17.5,10,13.5,B
74,10,11.50413223,10,11.2,10,7.5,C
75,10,10.2892562,10,10,2,14.5,D+
76,10,12.97933884,10,14,2,9,D+
77,10,13.90909091,10,13.7,10,11.5,C+
78,10,12.30991736,10,15,2,10.7,C
79,10,13.11570248,10,15,2,16,C+
80,10,12.17355372,10,15.2,10,8.5,C+
81,10,12.84297521,10,17,10,12,B
82,10,12.97933884,10,13.4,10,14.5,B
83,10,12.69421488,5,13.4,2,14,D+
84,10,14.05785124,10,14.7,2,13.5,C
85,10,13.63636364,10,15.2,10,13.5,B
86,10,13.37603306,10,15.8,10,17,B+
87,10,12.83057851,10,10.7,2,10.5,D+
88,10,12.03719008,10,10,10,6,D+
