ID,Attend,Quiz,Csystem,Midterm,LAB,Final,Grade,output
56,10.0,9.582644628,10.0,18.5,10.0,14.5,B,2
74,10.0,11.50413223,10.0,11.2,10.0,7.5,C,4
12,7.5,11.59090909,8.75,8.0,2.0,7.5,D,6
31,9.166666667,13.11570248,10.0,12.8,2.0,10.5,D+,5
41,10.0,13.25206612,10.0,9.0,2.0,7.5,D+,5
29,9.166666667,12.29752066,8.75,13.5,10.0,9.5,C,4
10,7.5,8.863636364,7.5,9.8,2.0,9.5,D,6
67,10.0,11.59090909,8.75,14.0,2.0,11.5,D+,5
6,7.5,9.285123967,10.0,11.0,2.0,5.0,D,6
40,10.0,13.25206612,10.0,7.5,10.0,8.5,D+,5
32,10.0,12.55785124,8.75,6.0,10.0,13.0,C,4
36,10.0,13.25206612,10.0,9.3,2.0,6.0,D+,5
46,10.0,11.50413223,8.75,6.5,10.0,11.0,D+,5
45,10.0,13.37603306,10.0,10.0,2.0,8.0,D+,5
17,8.333333333,10.78512397,8.75,8.5,2.0,8.0,D,6
43,10.0,12.4214876,10.0,12.6,10.0,10.0,C+,3
35,10.0,10.53719008,8.75,16.5,10.0,16.0,B,2
8,7.5,11.49173554,6.25,13.75,2.0,7.5,D,6
50,10.0,12.4338843,8.75,15.35,10.0,11.5,C+,3
62,10.0,12.30991736,10.0,13.2,10.0,7.0,C,4
20,9.166666667,12.16115702,10.0,8.5,2.0,6.0,D,6
73,10.0,12.83057851,10.0,17.5,10.0,13.5,B,2
26,9.166666667,12.4338843,10.0,11.3,2.0,12.5,D+,5
48,10.0,9.991735537,8.75,9.9,10.0,13.0,C,4
14,8.333333333,11.76446281,7.5,12.5,2.0,10.5,D+,5
25,9.166666667,9.855371901,8.75,8.1,2.0,7.5,D,6
4,6.666666667,8.045454545,8.75,10.5,10.0,11.0,D+,5
18,9.166666667,12.17355372,8.75,11.0,10.0,7.5,D+,5
39,10.0,12.70661157,10.0,9.5,10.0,7.0,D+,5
9,7.5,8.590909091,7.5,10.5,2.0,7.5,D,6
70,10.0,13.64876033,10.0,12.7,2.0,8.5,D+,5
7,7.5,11.20661157,8.75,10.5,2.0,10.1,D+,5
57,10.0,12.30991736,5.0,16.65,10.0,9.5,C,4
37,10.0,11.75206612,10.0,11.5,2.0,7.0,D+,5
79,10.0,13.11570248,10.0,15.0,2.0,16.0,C+,3
88,10.0,12.03719008,10.0,10.0,10.0,6.0,D+,5
55,10.0,12.57024793,10.0,9.5,10.0,9.0,C,4
44,10.0,11.49173554,10.0,9.0,2.0,8.0,D+,5
51,10.0,13.10330579,10.0,9.0,10.0,10.0,C,4
47,10.0,13.26446281,10.0,8.5,2.0,7.5,D+,5
87,10.0,12.83057851,10.0,10.7,2.0,10.5,D+,5
16,8.333333333,10.40082645,10.0,12.5,10.0,11.5,C,4
71,10.0,13.37603306,10.0,14.0,2.0,15.0,C,4
28,9.166666667,10.79752066,8.75,9.0,2.0,9.0,D,6
42,10.0,10.26446281,10.0,11.0,10.0,10.5,C,4
63,10.0,12.95454545,10.0,10.0,10.0,14.0,C+,3
59,10.0,12.4338843,10.0,14.4,10.0,13.2,B,2
49,10.0,12.71900826,10.0,6.0,2.0,5.0,D,6
78,10.0,12.30991736,10.0,15.0,2.0,10.7,C,4
58,10.0,13.52479339,10.0,12.5,2.0,11.0,D+,5
33,10.0,11.21900826,8.75,8.5,2.0,9.6,D+,5
84,10.0,14.05785124,10.0,14.7,2.0,13.5,C,4
60,10.0,12.96694215,10.0,15.5,10.0,15.5,B,2
64,10.0,13.10330579,10.0,15.0,10.0,13.5,B,2
76,10.0,12.97933884,10.0,14.0,2.0,9.0,D+,5
38,10.0,12.13636364,8.75,11.0,10.0,7.0,D+,5
30,9.166666667,12.44628099,8.75,10.5,10.0,8.5,D+,5
2,5.0,9.037190083,7.5,10.5,2.0,9.5,D,6
53,10.0,12.03719008,8.75,12.5,10.0,12.0,C+,3
22,9.166666667,12.14876033,7.5,12.0,10.0,10.5,C,4
3,5.833333333,11.7768595,7.5,9.0,10.0,8.0,D+,5
24,9.166666667,12.69421488,10.0,14.5,2.0,9.5,D+,5
82,10.0,12.97933884,10.0,13.4,10.0,14.5,B,2
75,10.0,10.2892562,10.0,10.0,2.0,14.5,D+,5
83,10.0,12.69421488,5.0,13.4,2.0,14.0,D+,5
21,9.166666667,11.91322314,10.0,5.5,2.0,9.0,D,6
61,10.0,12.97933884,10.0,19.0,10.0,18.5,A,0
72,10.0,14.46694215,10.0,11.0,2.0,12.6,C,4
15,8.333333333,11.88842975,10.0,6.5,10.0,5.0,D+,5
52,10.0,11.46694215,10.0,8.0,2.0,7.5,D,6
